host_id,host_since,host_response_time,host_is_superhost,host_listings_count,host_total_listings_count,neighbourhood_cleansed,room_type,bathrooms,accommodates,bedrooms,square_feet,price,number_of_reviews,has_availability,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
3814089,2012-10-09,within an hour,TRUE,3,3,Leaside-Bennington,Entire home/apt,1,2,1,1400,98,155,TRUE,98,10,10,10,10,10,10
3604846,2012-09-18,within a few hours,FALSE,5,5,High Park-Swansea,Entire home/apt,1,4,2,NA,205,9,TRUE,85,8,8,9,10,10,8
3709828,2012-09-29,within an hour,TRUE,5,5,Bay Street Corridor,Entire home/apt,1,2,1,0,170,9,TRUE,100,10,10,10,10,10,9
3377580,2012-08-26,within an hour,TRUE,4,4,Ionview,Entire home/apt,1,4,2,NA,133,21,TRUE,91,9,10,10,10,9,9
3982898,2012-10-26,within an hour,TRUE,3,3,Cabbagetown-South St.James Town,Private room,1,1,1,NA,76,48,TRUE,98,10,10,10,10,10,10
4017316,2012-10-30,N/A,FALSE,1,1,Waterfront Communities-The Island,Entire home/apt,1,2,1,595,93,6,TRUE,80,9,8,9,9,8,8
1591140,2012-01-10,within a day,FALSE,2,2,Mount Pleasant West,Entire home/apt,1,3,0,NA,76,43,TRUE,96,9,9,10,10,10,10
4068231,2012-11-05,within a few hours,TRUE,3,3,Moss Park,Entire home/apt,1,2,0,NA,76,24,TRUE,89,10,10,10,10,8,9
1581404,2012-01-08,within a few hours,FALSE,1,1,Roncesvalles,Entire home/apt,NA,1,1,NA,95,3,TRUE,100,10,10,10,10,10,10
4094364,2012-11-08,within an hour,TRUE,2,2,Palmerston-Little Italy,Entire home/apt,1,2,1,1000,150,57,TRUE,99,10,10,10,10,10,10
1664833,2012-01-28,within an hour,FALSE,1,1,Don Valley Village,Private room,1,2,1,NA,68,70,TRUE,97,10,10,10,10,10,10
1919294,2012-03-13,within a few hours,FALSE,73,73,Waterfront Communities-The Island,Entire home/apt,1,2,1,NA,148,9,TRUE,87,9,8,9,8,9,8
588352,2011-05-14,within a few hours,FALSE,1,1,Waterfront Communities-The Island,Entire home/apt,1,2,1,600,150,13,TRUE,97,10,9,10,10,10,10
946529,2011-08-09,within a day,TRUE,2,2,Waterfront Communities-The Island,Entire home/apt,1,4,1,0,154,56,TRUE,98,10,10,10,10,10,9
258360,2010-10-10,within an hour,TRUE,2,2,Junction Area,Entire home/apt,1,2,1,650,114,61,TRUE,95,10,10,9,10,9,9
844281,2011-07-20,N/A,FALSE,1,1,High Park-Swansea,Entire home/apt,NA,2,1,NA,80,1,TRUE,100,10,10,10,10,10,10
3921786,2012-10-19,within an hour,TRUE,1,1,Junction Area,Entire home/apt,1,4,1,NA,125,67,TRUE,97,10,9,10,10,10,10
1919294,2012-03-13,within a few hours,FALSE,73,73,Waterfront Communities-The Island,Entire home/apt,1,2,1,NA,148,13,TRUE,78,9,9,8,9,10,9
2056128,2012-04-02,within an hour,TRUE,2,2,Bay Street Corridor,Private room,1,2,1,NA,115,186,TRUE,100,10,10,10,10,10,10
4167411,2012-11-16,N/A,FALSE,1,1,Waterfront Communities-The Island,Entire home/apt,1,3,1,NA,130,4,TRUE,85,10,7,10,10,10,10
4169949,2012-11-16,within a few hours,TRUE,1,1,Blake-Jones,Private room,1,2,1,NA,64,75,TRUE,94,9,10,10,10,10,9
4186011,2012-11-18,N/A,TRUE,1,1,Waterfront Communities-The Island,Entire home/apt,1,2,1,0,150,36,TRUE,96,10,10,10,10,10,10
4195876,2012-11-19,within an hour,TRUE,2,2,Casa Loma,Private room,1,2,1,NA,159,88,TRUE,98,10,10,10,10,10,10
1301725,2011-10-17,within an hour,TRUE,3,3,Waterfront Communities-The Island,Entire home/apt,1,2,1,NA,140,36,TRUE,95,10,10,10,10,10,10
4306694,2012-12-02,within a day,FALSE,1,1,Dovercourt-Wallace Emerson-Junction,Private room,2.5,2,1,NA,70,6,TRUE,100,10,10,10,10,10,10
149566,2010-06-22,within a day,FALSE,3,3,Palmerston-Little Italy,Entire home/apt,1,3,1,NA,87,34,TRUE,94,9,9,10,10,10,9
4316883,2012-12-03,within a day,FALSE,1,1,Rosedale-Moore Park,Entire home/apt,5,9,5,NA,981,7,TRUE,97,10,9,10,10,10,10
349619,2011-01-16,within a day,FALSE,3,3,Regent Park,Entire home/apt,1,4,2,1000,85,5,TRUE,92,10,8,10,10,10,10
4357559,2012-12-08,within a few hours,FALSE,1,1,Palmerston-Little Italy,Entire home/apt,1,2,0,0,85,162,TRUE,92,10,9,10,9,10,9
4361863,2012-12-09,within a few hours,FALSE,2,2,Annex,Entire home/apt,1,2,1,NA,98,6,TRUE,88,9,9,9,10,10,9
2019357,2012-03-27,N/A,FALSE,1,1,South Riverdale,Entire home/apt,1,2,1,549,109,22,TRUE,89,9,8,9,9,10,9
4073298,2012-11-06,within an hour,TRUE,1,1,High Park-Swansea,Entire home/apt,1,2,1,NA,87,154,TRUE,96,10,10,10,10,10,10
4403844,2012-12-14,N/A,FALSE,2,2,Forest Hill South,Entire home/apt,1,3,2,678,135,108,TRUE,95,9,9,10,10,10,9
4435131,2012-12-18,within an hour,TRUE,1,1,Moss Park,Private room,1,2,1,NA,80,134,TRUE,98,10,10,10,10,10,10
1919294,2012-03-13,within a few hours,FALSE,73,73,Waterfront Communities-The Island,Entire home/apt,1,4,2,NA,190,3,TRUE,80,8,5,6,8,9,7
